epoch,trainingLoss,validationLoss
590,0.157,0.224
591,0.157,0.224
592,0.157,0.224
593,0.156,0.224
594,0.156,0.224
595,0.156,0.224
596,0.156,0.224
597,0.156,0.224
598,0.156,0.223
599,0.155,0.223
600,0.155,0.223
601,0.155,0.223
602,0.155,0.223
603,0.155,0.223
604,0.155,0.223
605,0.154,0.223
606,0.154,0.223
607,0.154,0.223
608,0.154,0.222
609,0.154,0.222
610,0.154,0.222
611,0.154,0.222
612,0.153,0.222
613,0.153,0.222
614,0.153,0.222
615,0.153,0.222
616,0.153,0.222
617,0.153,0.222
618,0.152,0.221
619,0.152,0.221
620,0.152,0.221
621,0.152,0.221
622,0.152,0.221
623,0.152,0.221
624,0.152,0.221
625,0.151,0.221
626,0.151,0.221
627,0.151,0.221
628,0.151,0.221
629,0.151,0.220
630,0.151,0.220
631,0.150,0.220
632,0.150,0.220
633,0.150,0.220
634,0.150,0.220
635,0.150,0.220
636,0.150,0.220
637,0.150,0.220
638,0.149,0.220
639,0.149,0.220
640,0.149,0.219
641,0.149,0.219
642,0.149,0.219
643,0.149,0.219
644,0.149,0.219
645,0.148,0.219
646,0.148,0.219
647,0.148,0.219
648,0.148,0.219
649,0.148,0.219
650,0.148,0.219
651,0.148,0.218
652,0.147,0.218
653,0.147,0.218
654,0.147,0.218
655,0.147,0.218
656,0.147,0.218
657,0.147,0.218
658,0.147,0.218
659,0.146,0.218
660,0.146,0.218
661,0.146,0.218
662,0.146,0.218
663,0.146,0.217
664,0.146,0.217
665,0.146,0.217
666,0.145,0.217
667,0.145,0.217
668,0.145,0.217
669,0.145,0.217
670,0.145,0.217
671,0.145,0.217
672,0.145,0.217
673,0.145,0.217
674,0.144,0.217
675,0.144,0.217
676,0.144,0.216
677,0.144,0.216
678,0.144,0.216
679,0.144,0.216
680,0.144,0.216
681,0.143,0.216
682,0.143,0.216
683,0.143,0.216
684,0.143,0.216
685,0.143,0.216
686,0.143,0.216
687,0.143,0.216
688,0.143,0.216
689,0.142,0.215
690,0.142,0.215
691,0.142,0.215
692,0.142,0.215
693,0.142,0.215
694,0.142,0.215
695,0.142,0.215
696,0.141,0.215
697,0.141,0.215
698,0.141,0.215
699,0.141,0.215
700,0.141,0.215
701,0.141,0.215
702,0.141,0.215
703,0.141,0.214
704,0.140,0.214
705,0.140,0.214
706,0.140,0.214
707,0.140,0.214
708,0.140,0.214
709,0.140,0.214
710,0.140,0.214
711,0.140,0.214
712,0.139,0.214
713,0.139,0.214
714,0.139,0.214
715,0.139,0.214
716,0.139,0.214
717,0.139,0.213
718,0.139,0.213
719,0.139,0.213
720,0.138,0.213
721,0.138,0.213
722,0.138,0.213
723,0.138,0.213
724,0.138,0.213
725,0.138,0.213
726,0.138,0.213
727,0.138,0.213
728,0.137,0.213
729,0.137,0.213
730,0.137,0.213
731,0.137,0.213
732,0.137,0.212
733,0.137,0.212
734,0.137,0.212
735,0.137,0.212
736,0.137,0.212
737,0.136,0.212
738,0.136,0.212
739,0.136,0.212
740,0.136,0.212
741,0.136,0.212
742,0.136,0.212
743,0.136,0.212
744,0.136,0.212
745,0.135,0.212
746,0.135,0.212
747,0.135,0.211
748,0.135,0.211
749,0.135,0.211
750,0.135,0.211
751,0.135,0.211
752,0.135,0.211
753,0.135,0.211
754,0.134,0.211
755,0.134,0.211
756,0.134,0.211
757,0.134,0.211
758,0.134,0.211
759,0.134,0.211
760,0.134,0.211
761,0.134,0.211
762,0.133,0.211
763,0.133,0.210
764,0.133,0.210
765,0.133,0.210
766,0.133,0.210
767,0.133,0.210
768,0.133,0.210
769,0.133,0.210
770,0.133,0.210
771,0.132,0.210
772,0.132,0.210
773,0.132,0.210
774,0.132,0.210
775,0.132,0.210
776,0.132,0.210
777,0.132,0.210
778,0.132,0.210
779,0.132,0.210
780,0.131,0.209
781,0.131,0.209
782,0.131,0.209
783,0.131,0.209
784,0.131,0.209
785,0.131,0.209
786,0.131,0.209
787,0.131,0.209
788,0.131,0.209
789,0.130,0.209
790,0.130,0.209
791,0.130,0.209
792,0.130,0.209
793,0.130,0.209
794,0.130,0.209
795,0.130,0.209
796,0.130,0.209
797,0.130,0.208
798,0.130,0.208
799,0.129,0.208
800,0.129,0.208
801,0.129,0.208
802,0.129,0.208
803,0.129,0.208
804,0.129,0.208
805,0.129,0.208
806,0.129,0.208
807,0.129,0.208
808,0.128,0.208
809,0.128,0.208
810,0.128,0.208
811,0.128,0.208
812,0.128,0.208
813,0.128,0.208
814,0.128,0.208
815,0.128,0.208
816,0.128,0.207
817,0.128,0.207
818,0.127,0.207
819,0.127,0.207
820,0.127,0.207
821,0.127,0.207
822,0.127,0.207
823,0.127,0.207
824,0.127,0.207
825,0.127,0.207
826,0.127,0.207
827,0.126,0.207
828,0.126,0.207
829,0.126,0.207
830,0.126,0.207
831,0.126,0.207
832,0.126,0.207
833,0.126,0.207
834,0.126,0.207
835,0.126,0.206
836,0.126,0.206
837,0.125,0.206
838,0.125,0.206
839,0.125,0.206
840,0.125,0.206
841,0.125,0.206
842,0.125,0.206
843,0.125,0.206
844,0.125,0.206
845,0.125,0.206
846,0.125,0.206
847,0.124,0.206
848,0.124,0.206
849,0.124,0.206
850,0.124,0.206
851,0.124,0.206
852,0.124,0.206
853,0.124,0.206
854,0.124,0.206
855,0.124,0.205
856,0.124,0.205
857,0.123,0.205
858,0.123,0.205
859,0.123,0.205
860,0.123,0.205
861,0.123,0.205
862,0.123,0.205
863,0.123,0.205
864,0.123,0.205
865,0.123,0.205
866,0.123,0.205
867,0.123,0.205
868,0.122,0.205
869,0.122,0.205
870,0.122,0.205
871,0.122,0.205
872,0.122,0.205
873,0.122,0.205
874,0.122,0.205
875,0.122,0.205
876,0.122,0.204
877,0.122,0.204
878,0.121,0.204
879,0.121,0.204
880,0.121,0.204
881,0.121,0.204
882,0.121,0.204
883,0.121,0.204
884,0.121,0.204
885,0.121,0.204
886,0.121,0.204
887,0.121,0.204
888,0.121,0.204
889,0.120,0.204
890,0.120,0.204
891,0.120,0.204
892,0.120,0.204
893,0.120,0.204
894,0.120,0.204
895,0.120,0.204
896,0.120,0.204
897,0.120,0.204
898,0.120,0.203
899,0.120,0.203
900,0.119,0.203
901,0.119,0.203
902,0.119,0.203
903,0.119,0.203
904,0.119,0.203
905,0.119,0.203
906,0.119,0.203
907,0.119,0.203
908,0.119,0.203
909,0.119,0.203
910,0.119,0.203
911,0.118,0.203
912,0.118,0.203
913,0.118,0.203
914,0.118,0.203
915,0.118,0.203
916,0.118,0.203
917,0.118,0.203
918,0.118,0.203
919,0.118,0.203
920,0.118,0.203
921,0.118,0.203
922,0.117,0.202
923,0.117,0.202
924,0.117,0.202
925,0.117,0.202
926,0.117,0.202
927,0.117,0.202
928,0.117,0.202
929,0.117,0.202
930,0.117,0.202
931,0.117,0.202
932,0.117,0.202
933,0.117,0.202
934,0.116,0.202
935,0.116,0.202
936,0.116,0.202
937,0.116,0.202
938,0.116,0.202
939,0.116,0.202
940,0.116,0.202
941,0.116,0.202
942,0.116,0.202
943,0.116,0.202
944,0.116,0.202
945,0.116,0.202
946,0.115,0.202
947,0.115,0.201
948,0.115,0.201
949,0.115,0.201
950,0.115,0.201
951,0.115,0.201
952,0.115,0.201
953,0.115,0.201
954,0.115,0.201
955,0.115,0.201
956,0.115,0.201
957,0.114,0.201
958,0.114,0.201
959,0.114,0.201
960,0.114,0.201
961,0.114,0.201
962,0.114,0.201
963,0.114,0.201
964,0.114,0.201
965,0.114,0.201
966,0.114,0.201
967,0.114,0.201
968,0.114,0.201
969,0.113,0.201
970,0.113,0.201
971,0.113,0.201
972,0.113,0.201
973,0.113,0.201
974,0.113,0.200
975,0.113,0.200
976,0.113,0.200
977,0.113,0.200
978,0.113,0.200
979,0.113,0.200
980,0.113,0.200
981,0.112,0.200
982,0.112,0.200
